 10 
 250 3120 
 50 90 -6 
 50 100 -18 
 50 104 23 
 50 107 -86 
 50 110 -30 
 50 111 -4 
 50 117 91 
 50 119 89 
 50 132 91 
 50 136 -48 
 50 156 -60 
 50 160 -16 
 50 167 72 
 50 198 37 
 50 201 34 
 50 215 -29 
 50 224 70 
 50 247 -82 
 51 53 47 
 51 57 11 
 51 81 -69 
 51 94 12 
 51 122 83 
 51 146 35 
 51 148 94 
 51 162 -39 
 51 174 66 
 51 181 68 
 51 194 -88 
 51 196 -84 
 51 200 30 
 51 227 3 
 51 236 90 
 52 53 -15 
 52 63 -22 
 52 102 -47 
 52 110 3 
 52 112 -79 
 52 117 -76 
 52 142 -38 
 52 157 -79 
 52 166 -84 
 52 200 -43 
 52 201 -95 
 52 206 97 
 52 209 27 
 52 213 80 
 52 222 -5 
 52 225 -5 
 52 233 7 
 52 235 -11 
 52 241 -33 
 52 244 -27 
 52 248 22 
 53 73 -74 
 53 79 99 
 53 90 99 
 53 110 30 
 53 112 -15 
 53 114 70 
 53 118 96 
 53 119 70 
 53 130 93 
 53 149 -40 
 53 153 28 
 53 168 44 
 53 178 -14 
 53 180 14 
 53 185 -22 
 53 186 -39 
 53 189 73 
 53 210 67 
 53 212 98 
 53 218 -31 
 53 223 48 
 53 228 19 
 53 245 -37 
 54 54 75 
 54 59 -25 
 54 74 -92 
 54 97 -21 
 54 98 -6 
 54 101 -25 
 54 119 -11 
 54 122 65 
 54 127 89 
 54 146 -15 
 54 162 -94 
 54 173 94 
 54 180 -23 
 54 195 47 
 54 206 13 
 54 208 -22 
 54 212 -80 
 54 220 -59 
 54 229 24 
 54 232 -90 
 54 246 25 
 55 56 94 
 55 71 3 
 55 78 -12 
 55 96 28 
 55 99 -69 
 55 103 97 
 55 106 87 
 55 110 90 
 55 121 -63 
 55 124 6 
 55 139 98 
 55 142 -2 
 55 153 79 
 55 164 59 
 55 172 45 
 55 175 43 
 55 180 99 
 55 187 38 
 55 198 -45 
 55 218 55 
 55 234 -68 
 55 244 -38 
 55 246 77 
 56 66 3 
 56 87 -23 
 56 90 93 
 56 107 -33 
 56 115 -95 
 56 120 93 
 56 121 -88 
 56 125 47 
 56 133 -82 
 56 135 49 
 56 136 45 
 56 161 40 
 56 180 -23 
 56 181 72 
 56 204 -71 
 56 222 60 
 56 238 68 
 56 243 -33 
 57 71 11 
 57 73 -50 
 57 94 -85 
 57 102 40 
 57 138 66 
 57 161 62 
 57 168 -32 
 57 172 31 
 57 173 15 
 57 174 97 
 57 183 -50 
 57 195 -23 
 57 200 -25 
 57 203 14 
 57 215 -24 
 57 218 7 
 57 241 62 
 58 70 61 
 58 72 31 
 58 84 37 
 58 85 30 
 58 95 71 
 58 113 47 
 58 132 87 
 58 133 -67 
 58 139 -63 
 58 140 7 
 58 152 86 
 58 157 -2 
 58 158 91 
 58 161 -12 
 58 162 -98 
 58 175 -47 
 58 177 11 
 58 180 -69 
 58 193 99 
 58 195 61 
 58 200 65 
 58 207 -43 
 58 208 -60 
 58 209 -91 
 58 229 57 
 58 231 -55 
 58 237 -97 
 59 83 66 
 59 117 -35 
 59 118 -77 
 59 123 99 
 59 124 -43 
 59 138 58 
 59 140 -85 
 59 162 -6 
 59 178 78 
 59 180 58 
 59 185 -70 
 59 203 -1 
 59 205 6 
 59 209 -71 
 59 216 98 
 59 233 94 
 59 235 -14 
 59 244 -20 
 60 62 -40 
 60 64 18 
 60 73 34 
 60 75 -58 
 60 78 63 
 60 82 -86 
 60 83 -14 
 60 88 31 
 60 103 -69 
 60 124 37 
 60 125 -68 
 60 137 -70 
 60 141 85 
 60 154 -91 
 60 196 100 
 60 208 -31 
 60 219 21 
 60 222 60 
 60 228 38 
 60 232 -52 
 60 235 32 
 60 236 -93 
 60 244 -68 
 61 63 24 
 61 74 12 
 61 90 1 
 61 124 18 
 61 146 -58 
 61 170 -64 
 61 172 17 
 61 201 30 
 61 211 -45 
 61 219 31 
 61 234 61 
 61 243 3 
 62 64 67 
 62 65 -54 
 62 72 -44 
 62 80 -18 
 62 84 -35 
 62 88 22 
 62 101 83 
 62 107 -67 
 62 113 -60 
 62 125 -4 
 62 126 -15 
 62 133 10 
 62 146 -61 
 62 147 -53 
 62 148 -58 
 62 150 58 
 62 155 -61 
 62 156 -95 
 62 161 -90 
 62 166 -2 
 62 169 33 
 62 173 17 
 62 185 -11 
 62 186 21 
 62 197 72 
 62 208 51 
 62 209 46 
 62 212 75 
 62 221 -86 
 62 237 28 
 62 246 -92 
 62 247 53 
 63 90 78 
 63 100 -35 
 63 109 -60 
 63 113 -61 
 63 115 -4 
 63 116 -69 
 63 127 2 
 63 130 84 
 63 134 19 
 63 144 12 
 63 146 -8 
 63 147 78 
 63 153 -28 
 63 168 -9 
 63 184 -64 
 63 207 9 
 63 210 -45 
 63 217 -7 
 63 222 32 
 63 232 60 
 63 237 -62 
 64 67 28 
 64 80 25 
 64 82 -52 
 64 100 63 
 64 103 68 
 64 106 20 
 64 108 37 
 64 117 50 
 64 123 25 
 64 134 59 
 64 144 88 
 64 146 64 
 64 152 93 
 64 167 36 
 64 173 -22 
 64 174 -75 
 64 196 -95 
 64 200 -96 
 64 205 -60 
 64 224 46 
 64 237 -95 
 64 243 -14 
 64 244 -8 
 65 76 59 
 65 98 60 
 65 139 93 
 65 144 57 
 65 182 -90 
 65 186 88 
 65 201 -37 
 65 217 -9 
 65 231 13 
 66 76 68 
 66 82 60 
 66 86 64 
 66 96 66 
 66 110 66 
 66 128 -15 
 66 129 42 
 66 147 50 
 66 148 74 
 66 151 31 
 66 153 58 
 66 164 23 
 66 166 92 
 66 170 90 
 66 178 -48 
 66 186 -22 
 66 188 54 
 66 191 -65 
 66 198 -3 
 66 203 92 
 66 205 -31 
 66 207 82 
 66 214 -99 
 66 230 86 
 66 247 -78 
 66 248 16 
 67 70 -79 
 67 81 -99 
 67 88 -98 
 67 95 -84 
 67 100 -19 
 67 101 -45 
 67 116 -24 
 67 120 -14 
 67 121 -74 
 67 126 -69 
 67 129 -76 
 67 158 70 
 67 164 -7 
 67 169 -15 
 67 185 92 
 67 196 33 
 67 215 69 
 67 223 -90 
 68 74 16 
 68 87 69 
 68 104 -43 
 68 115 -58 
 68 124 88 
 68 153 -75 
 68 160 33 
 68 163 -12 
 68 164 -10 
 68 168 83 
 68 170 82 
 68 171 51 
 68 172 61 
 68 173 28 
 68 181 78 
 68 189 -81 
 68 191 32 
 68 200 34 
 68 221 98 
 68 223 -87 
 68 232 -15 
 68 245 49 
 69 76 -80 
 69 77 -7 
 69 83 -46 
 69 96 12 
 69 101 -30 
 69 102 -79 
 69 123 65 
 69 135 -58 
 69 142 -42 
 69 187 92 
 69 203 10 
 69 222 71 
 69 226 79 
 70 79 2 
 70 80 -18 
 70 118 -83 
 70 143 61 
 70 180 95 
 70 181 67 
 70 182 -48 
 70 188 3 
 70 200 -1 
 70 217 -81 
 70 224 26 
 70 225 22 
 70 250 55 
 71 111 -35 
 71 113 55 
 71 120 25 
 71 126 76 
 71 128 -71 
 71 134 100 
 71 143 83 
 71 159 -33 
 71 160 -66 
 71 168 -10 
 71 170 60 
 71 175 -55 
 71 178 60 
 71 192 -2 
 71 193 -55 
 71 208 55 
 71 213 -54 
 71 227 53 
 71 244 -9 
 71 250 28 
 72 122 68 
 72 139 -2 
 72 144 -80 
 72 163 23 
 72 164 97 
 72 173 81 
 72 176 -25 
 72 177 -67 
 72 199 75 
 72 208 53 
 72 221 -99 
 72 237 47 
 72 242 87 
 72 243 -4 
 73 90 41 
 73 105 6 
 73 111 90 
 73 127 -6 
 73 141 -56 
 73 143 94 
 73 157 -95 
 73 158 -93 
 73 159 -99 
 73 163 53 
 73 165 85 
 73 177 -43 
 73 178 74 
 73 182 -12 
 73 185 75 
 73 187 6 
 73 192 -43 
 73 195 37 
 73 198 35 
 73 203 -52 
 73 215 34 
 73 218 -60 
 73 223 -59 
 73 228 -66 
 73 235 23 
 73 237 58 
 73 239 23 
 74 89 76 
 74 93 -1 
 74 99 -26 
 74 110 -73 
 74 118 -14 
 74 119 14 
 74 125 -33 
 74 129 99 
 74 145 46 
 74 147 -82 
 74 163 23 
 74 166 -1 
 74 172 -56 
 74 219 -11 
 74 221 58 
 74 229 -9 
 74 242 93 
 74 243 -3 
 74 248 -74 
 75 77 34 
 75 84 35 
 75 108 73 
 75 115 -80 
 75 118 -3 
 75 124 9 
 75 125 52 
 75 132 94 
 75 144 -3 
 75 146 28 
 75 158 4 
 75 162 -59 
 75 174 77 
 75 180 7 
 75 181 -78 
 75 190 -69 
 75 194 -33 
 75 197 -55 
 75 202 78 
 75 207 15 
 75 216 -84 
 75 224 -12 
 75 228 -75 
 75 231 -75 
 75 244 -16 
 75 247 21 
 76 85 65 
 76 98 -27 
 76 107 82 
 76 111 72 
 76 141 -54 
 76 158 14 
 76 172 -87 
 76 180 -41 
 76 192 -13 
 76 199 -90 
 76 207 -62 
 76 223 34 
 76 237 81 
 77 98 -75 
 77 135 -57 
 77 137 65 
 77 179 -20 
 77 182 87 
 77 185 -11 
 77 197 -27 
 77 203 -54 
 77 205 36 
 77 206 83 
 77 210 23 
 77 218 -72 
 77 223 -45 
 77 229 -62 
 78 93 8 
 78 95 82 
 78 102 -79 
 78 125 -72 
 78 131 16 
 78 174 35 
 78 178 -39 
 78 181 -14 
 78 193 65 
 78 207 -37 
 78 221 10 
 78 234 -98 
